"structure_taxonomy_npclassifier_01pathway" "structure_taxonomy_npclassifier_02superclass" "structure_taxonomy_npclassifier_03class"
"1" "Terpenoids" "Steroids" "Cholestane steroids"
"2" "Fatty acids" "Fatty esters" "Wax monoesters"
"3" "Fatty acids" "Fatty Acids and Conjugates" "Hydroxy fatty acids"
"4" "Fatty acids" "Fatty Acids and Conjugates" "Branched fatty acids"
"5" "Fatty acids" "Fatty Acids and Conjugates" "Unsaturated fatty acids"
"6" "Fatty acids" "Fatty acyls" "Fatty aldehydes"
"7" "Fatty acids" "Fatty Acids and Conjugates" NA
"8" "Terpenoids" "Steroids" "Ergostane steroids"
"9" "Terpenoids" "Steroids" "Stigmastane steroids"
"10" "Terpenoids" "Triterpenoids" "Cycloartane triterpenoids"
"11" "Terpenoids" "Triterpenoids" "Oleanane triterpenoids"
"12" "Terpenoids" "Triterpenoids" "Lupane triterpenoids"
"13" "Terpenoids" "Steroids" "Spirostane steroids"
"14" "Shikimates and Phenylpropanoids" "Lignans" "Furofuranoid lignans"
"15" "Terpenoids" "Triterpenoids" "Ursane and Taraxastane triterpenoids"
"16" "Terpenoids" "Sesquiterpenoids" "Germacrane sesquiterpenoids"
"17" "Terpenoids" "Apocarotenoids" "Apocarotenoids (β-)"
"18" "Terpenoids" "Diterpenoids" "Kaurane and Phyllocladane diterpenoids"
"19" "Terpenoids" "Sesquiterpenoids" "Guaiane sesquiterpenoids"
"20" "Shikimates and Phenylpropanoids" "Phenolic acids (C6-C1)" "Simple phenolic acids"
"21" "Carbohydrates" "Nucleosides" "Purine nucleos(t)ides"
"22" "Alkaloids" "Tyrosine alkaloids" "Aporphine alkaloids"
"23" "Alkaloids" "Tryptophan alkaloids" "Simple indole alkaloids"
"24" "Shikimates and Phenylpropanoids" "Phenanthrenoids" "Phenanthrenes"
"25" "Fatty acids" "Fatty acyls" "Halogenated hydrocarbons"
"26" "Amino acids and Peptides" "Small peptides" "Aminoacids"
"27" "Carbohydrates" "Polyols" "Cyclitols"
"28" "Fatty acids" "Fatty Acids and Conjugates" "Dicarboxylic acids"
"29" "Carbohydrates" "Saccharides" "Disaccharides"
"30" "Alkaloids" "Nicotinic acid alkaloids" "Pyridine alkaloids"
"31" "Carbohydrates" NA NA
"32" "Alkaloids" "Ornithine alkaloids" "Polyamines"
"33" "Shikimates and Phenylpropanoids" "Phenolic acids (C6-C1)" "Shikimic acids and derivatives"
"34" "Alkaloids" "Pseudoalkaloids" "Acetate-derived alkaloids"
"35" "Carbohydrates" "Saccharides" "Monosaccharides"
"36" "Shikimates and Phenylpropanoids" "Flavonoids" "Flavones"
"37" "Fatty acids" "Fatty acyls" "Hydrocarbons"
"38" "Terpenoids" "Triterpenoids" "Lanostane, Tirucallane and Euphane triterpenoids"
"39" "Shikimates and Phenylpropanoids" "Flavonoids" "Flavonols"
"40" "Fatty acids" "Fatty acyls" "Fatty alcohols"
"41" "Carbohydrates" "Saccharides" NA
"42" "Polyketides" "Polycyclic aromatic polyketides" "Anthraquinones and anthrones"
"43" "Polyketides" "Chromanes" "Chromones"
"44" "Terpenoids" "Triterpenoids" "Bauerane triterpenoids"
"45" "Alkaloids" "Anthranilic acid alkaloids" "Quinazoline alkaloids"
"46" "Shikimates and Phenylpropanoids" NA NA
"47" "Shikimates and Phenylpropanoids" "Coumarins" "Simple coumarins"
"48" "Terpenoids" "Triterpenoids" "Fernane and Arborinane triterpenoids"
"49" "Shikimates and Phenylpropanoids" "Coumarins" "Furocoumarins"
"50" "Terpenoids" "Triterpenoids" "Taraxerane triterpenoids"
"51" "Terpenoids" "Diterpenoids" NA
"52" "Terpenoids" "Sesquiterpenoids" "Chamigrane sesquiterpenoids"
"53" "Terpenoids" "Diterpenoids" "Dactylomelane diterpenoids"
"54" "Fatty acids" NA NA
"55" "Fatty acids" "Glycerolipids" "Glycosyldiacylglycerols"
"56" "Fatty acids" "Glycerolipids" "Triacylglycerols"
"57" "Fatty acids" "Glycerophospholipids" NA
"58" "Terpenoids" "Sesquiterpenoids" "Eudesmane sesquiterpenoids"
"59" "Shikimates and Phenylpropanoids" "Phenylpropanoids (C6-C3)" "Cinnamic acids and derivatives"
"60" "Shikimates and Phenylpropanoids" "Flavonoids" "Flavanones"
"61" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, β-β)"
"62" "Shikimates and Phenylpropanoids" "Lignans" "Arylnaphthalene and aryltetralin lignans"
"63" "Alkaloids" "Tyrosine alkaloids" "Phenylethylamines"
"64" "Polyketides" NA NA
"65" "Terpenoids" "Steroids" "Ecdysteroids"
"66" "Alkaloids" "Lysine alkaloids" "Piperidine alkaloids"
"67" "Terpenoids" "Triterpenoids" "Acyclic triterpenoids"
"68" "Terpenoids" "Diterpenoids" "Phytane diterpenoids"
"69" "Shikimates and Phenylpropanoids" "Phenylethanoids (C6-C2)" "Phenylethanoids"
"70" "Terpenoids" "Monoterpenoids" "Monocyclic monoterpenoids"
"71" "Terpenoids" "Monoterpenoids" "Acyclic monoterpenoids"
"72" "Terpenoids" "Monoterpenoids" "Menthane monoterpenoids"
"73" "Fatty acids" "Fatty acyls" "Oxygenated hydrocarbons"
"74" "Terpenoids" "Triterpenoids" "Dammarane and Protostane triterpenoids"
"75" "Carbohydrates" "Aminosugars and aminoglycosides" "Aminosugars"
"76" "Alkaloids" NA NA
"77" "Alkaloids" "Pseudoalkaloids" "pteridine alkaloids"
"78" "Fatty acids" "Glycerolipids" "Monoacylglycerols"
"79" "Fatty acids" "Fatty Acids and Conjugates" "Oxo fatty acids"
"80" "Terpenoids" "Sesquiterpenoids" "Elemane sesquiterpenoids"
"81" "Terpenoids" "Diterpenoids" "Labdane diterpenoids"
"82" "Terpenoids" "Triterpenoids" "Adianane triterpenoids"
"83" "Alkaloids" "Pseudoalkaloids" "Purine alkaloids"
"84" "Terpenoids" "Meroterpenoids" "Prenyl quinone meroterpenoids"
"85" "Fatty acids" "Glycerophospholipids" "Glycerophosphates"
"86" "Terpenoids" "Steroids" "Cardenolides"
"87" "Terpenoids" "Steroids" "Pregnane steroids"
"88" "Terpenoids" "Diterpenoids" "Norlabdane diterpenoids"
"89" "Terpenoids" "Sesquiterpenoids" "Caryophyllane sesquiterpenoids"
"90" "Terpenoids" "Triterpenoids" "Multiflorane triterpenoids"
"91" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, β-ε)"
"92" "Terpenoids" "Triterpenoids" "Hopane and Moretane triterpenoids"
"93" "Alkaloids" "Tryptophan alkaloids" "Quinoline alkaloids"
"94" "Shikimates and Phenylpropanoids" "Lignans" "Dibenzylbutyrolactone lignans"
"95" "Alkaloids" "Tryptophan alkaloids" "Corynanthe type"
"96" "Terpenoids" "Sesquiterpenoids" "Patchoulane sesquiterpenoids"
"97" "Terpenoids" "Sesquiterpenoids" NA
"98" "Terpenoids" "Sesquiterpenoids" "Cedrane and Isocedrane sesquiterpenoids"
"99" "Terpenoids" "Steroids" "Bufadienolides"
"100" "Alkaloids" "Tryptophan alkaloids" "Carboline alkaloids"
"101" "Terpenoids" "Monoterpenoids" "Camphane monoterpenoids"
"102" "Terpenoids" "Monoterpenoids" NA
"103" "Terpenoids" "Diterpenoids" "Pimarane and Isopimarane diterpenoids"
"104" "Terpenoids" "Monoterpenoids" "Pinane monoterpenoids"
"105" "Terpenoids" "Sesquiterpenoids" "Cadinane sesquiterpenoids"
"106" "Terpenoids" "Sesquiterpenoids" "Himachalane sesquiterpenoids"
"107" "Terpenoids" "Sesquiterpenoids" "Bergamotane sesquiterpenoids"
"108" "Terpenoids" "Monoterpenoids" "Thujane monoterpenoids"
"109" "Terpenoids" "Sesquiterpenoids" "Bisabolane sesquiterpenoids"
"110" "Terpenoids" "Sesquiterpenoids" "Aromadendrane sesquiterpenoids"
"111" "Terpenoids" "Sesquiterpenoids" "Humulane sesquiterpenoids"
"112" "Terpenoids" "Monoterpenoids" "Fenchane monoterpenoids"
"113" "Terpenoids" "Sesquiterpenoids" "Copaane sesquiterpenoids"
"114" "Shikimates and Phenylpropanoids" "Phenylpropanoids (C6-C3)" NA
"115" "Terpenoids" "Sesquiterpenoids" "Bourbonane sesquiterpenoids"
"116" "Terpenoids" "Steroids" "Estrane steroids"
"117" "Fatty acids" "Fatty esters" "Lactones"
"118" "Terpenoids" "Sesquiterpenoids" "Cubebane sesquiterpenoids"
"119" "Terpenoids" "Apocarotenoids" "Apocarotenoids (Ψ-)"
"120" "Polyketides" "Cyclic polyketides" "Furans"
"121" "Terpenoids" "Sesquiterpenoids" "Farnesane sesquiterpenoids"
"122" "Terpenoids" "Meroterpenoids" "Merohemiterpenoids"
"123" "Terpenoids" "Monoterpenoids" "Carane monoterpenoids"
"124" "Fatty acids" "Octadecanoids" "Jasmonic acids"
"125" "Amino acids and Peptides" "Small peptides" "Dipeptides"
"126" "Amino acids and Peptides" NA NA
"127" "Alkaloids" "Anthranilic acid alkaloids" "Phenazine alkaloids"
"128" "Carbohydrates" "Nucleosides" "Pyrimidine nucleos(t)ides"
"129" "Amino acids and Peptides" "Small peptides" NA
"130" "Shikimates and Phenylpropanoids" "Flavonoids" "Chalcones"
"131" "Terpenoids" "Sesquiterpenoids" "Eremophilane sesquiterpenoids"
"132" "Terpenoids" NA NA
