"n"
"Acanthomorphata" 136
"Acarosporales" 10
"Acidithiobacillales" 1
"Acorales" 33
"Acrospermales" 1
"Actiniaria" 26
"Actinomycetales" 42
"Actinopolysporales" 2
"Acytosteliales" 3
"Aeromonadales" 8
"Agaricales" 837
"Agelasida" 74
"Ahnfeltiales" 3
"Alcyonacea" 844
"Alepocephaliformes" 1
"Alismatales" 208
"Allogromida" 4
"Alteromonadales" 70
"Amborellales" 1
"Anaspidea" 106
"Anguilliformes" 38
"Annulatascales" 3
"Anostraca" 7
"Anthoathecata" 12
"Anthocerotales" 3
"Antipatharia" 5
"Anura" 109
"Apiales" 2366
"Apodida" 4
"Aquificales" 3
"Aquifoliales" 119
"Araeolaimida" 9
"Araneae" 17
"Araucariales" 173
"Arbacoida" 5
"Architaenioglossa" 5
"Arcida" 2
"Arecales" 94
"Arthoniales" 18
"Artiodactyla" 24
"Ascoseirales" 1
"Asparagales" 2329
"Aspidochirotida" 41
"Asterales" 7416
"Asterinales" 1
"Atheliales" 3
"Auriculariales" 5
"Austrobaileyales" 332
"Axinellida" 195
"Bacillales" 314
"Bacteroidales" 5
"Baerida" 1
"Bangiales" 11
"Bartramiales" 10
"Basidiobolales" 1
"Bathynellacea" 1
"Berberidopsidales" 1
"Biemnida" 10
"Bifidobacteriales" 1
"Blasiales" 3
"Blastocladiales" 1
"Blattodea" 33
"Boletales" 117
"Boliniales" 7
"Boraginales" 395
"Botryosphaeriales" 125
"Brassicales" 938
"Bruniales" 4
"Bryales" 24
"Bryopsidales" 73
"Bubarida" 17
"Burkholderiales" 148
"Buxales" 143
"Calanoida" 3
"Caliciales" 3
"Calobryales" 1
"Calosphaeriales" 1
"Campylobacterales" 7
"Candelariales" 1
"Canellales" 59
"Cantharellales" 41
"Capnodiales" 171
"Carcharhiniformes" 4
"Cardiida" 13
"Carnivora" 8
"Caryophyllales" 1689
"Catenulisporales" 4
"Caudata" 8
"Caulobacterales" 38
"Celastrales" 606
"Cephalaspidea" 24
"Cephalodiscida" 9
"Ceratophyllales" 1
"Chaetodermatida" 1
"Chaetopeltidales" 1
"Chaetophorales" 1
"Chaetosphaeriales" 13
"Chaetothyriales" 22
"Characiformes" 2
"Charales" 23
"Cheilostomatida" 62
"Chiroptera" 2
"Chitonida" 3
"Chlamydomonadales" 26
"Chloranthales" 68
"Chlorellales" 28
"Chlorobiales" 4
"Chlorodendrales" 3
"Chloroflexales" 2
"Chlorosarcinales" 1
"Chondrillida" 3
"Chondrosiida" 3
"Chromatiales" 11
"Chromulinales" 3
"Cladophorales" 16
"Clathrinida" 32
"Clionaida" 31
"Clostridiales" 16
"Clupeiformes" 3
"Clypeasteroida" 5
"Coccolithales" 2
"Coleoptera" 201
"Comatulida" 15
"Commelinales" 56
"Compsopogonales" 1
"Coniochaetales" 10
"Coniocybales" 1
"Corallinales" 16
"Cornales" 220
"Coronophorales" 1
"Corticiales" 5
"Corynebacteriales" 194
"Crossosomatales" 25
"Cryptomonadales" 5
"Ctenostomatida" 17
"Cucurbitales" 479
"Cupressales" 1032
"Cutleriales" 2
"Cyanidiales" 4
"Cyatheales" 20
"Cycadales" 22
"Cycloneritimorpha" 5
"Cyclophyllidea" 1
"Cydippida" 1
"Cypriniformes" 11
"Cyrtocrinida" 3
"Cyrtolophosidida" 14
"Cystobasidiales" 3
"Cystofilobasidiales" 9
"Cytophagales" 29
"Cyttariales" 2
"Dacrymycetales" 1
"Dasycladales" 33
"Decapoda" 44
"Deinococcales" 3
"Dendroceratida" 48
"Dendrocerotales" 2
"Dendrochirotida" 40
"Desmarestiales" 7
"Desulfuromonadales" 1
"Diadematoida" 3
"Diaporthales" 284
"Dicranales" 7
"Dictyoceratida" 458
"Dictyosteliales" 21
"Dictyotales" 166
"Dilleniales" 17
"Dinophysiales" 2
"Dioscoreales" 201
"Diplostraca" 14
"Dipsacales" 481
"Diptera" 82
"Diversisporales" 1
"Dothideales" 25
"Echinoida" 13
"Ectocarpales" 17
"Elasipodida" 1
"Enterobacteriales" 379
"Enterogona" 307
"Entomophthorales" 2
"Ephedrales" 60
"Equisetales" 51
"Ericales" 1390
"Erysiphales" 6
"Escalloniales" 4
"Eucoccidiorida" 1
"Eugregarinorida" 1
"Eunicida" 5
"Euphausiacea" 6
"Eurotiales" 2921
"Euryalida" 1
"Eustigmatales" 2
"Exobasidiales" 11
"Fabales" 5318
"Fagales" 576
"Flavobacteriales" 30
"Forcipulatida" 49
"Fossombroniales" 9
"Fragilariales" 2
"Frankiales" 4
"Fucales" 207
"Funariales" 5
"Garryales" 45
"Gentianales" 3612
"Geraniales" 105
"Ginkgoales" 177
"Glaucocystales" 1
"Gleicheniales" 18
"Gloeophyllales" 18
"Glomerales" 1
"Glomerellales" 93
"Glomerida" 2
"Glycomycetales" 1
"Gnetales" 46
"Gomphales" 7
"Gonyaulacales" 37
"Grimmiales" 1
"Gunnerales" 5
"Gymnosomata" 1
"Halobacteriales" 12
"Halosphaeriales" 7
"Hapalidiales" 4
"Haplosclerida" 337
"Haplotaxida" 3
"Harpacticoida" 7
"Hedwigiales" 3
"Helicobasidiales" 6
"Helioporacea" 2
"Helotiales" 217
"Hemiptera" 118
"Herpetosiphonales" 3
"Heteronemertea" 2
"Hexactinosida" 1
"Hirudinida" 1
