"n"
"Alkylresorcinols" 32
"Amino acid glycosides" 410
"Aminosugars and aminoglycosides" 132
"Anthranilic acid alkaloids" 981
"Apocarotenoids" 1101
"Aromatic polyketides" 1508
"Carotenoids (C40)" 827
"Carotenoids (C45)" 4
"Carotenoids (C50)" 29
"Chromanes" 1020
"Coumarins" 3903
"Cyclic polyketides" 1607
"Diarylheptanoids" 569
"Diazotetronic acids and derivatives" 109
"Diphenyl ethers (DPEs)" 141
"Diterpenoids" 7672
"Docosanoids" 9
"Eicosanoids" 120
"Fatty Acids and Conjugates" 2798
"Fatty acyl glycosides" 196
"Fatty acyls" 2819
"Fatty amides" 48
"Fatty esters" 1105
"Flavonoids" 12277
"Fluorenes" 10
"Glycerolipids" 309
"Glycerophospholipids" 85
"Guanidine alkaloids" 114
"Histidine alkaloids" 386
"Isoflavonoids" 2214
"Lignans" 3001
"Linear polyketides" 1446
"Lysine alkaloids" 1574
"Macrolides" 1862
"Meroterpenoids" 1974
"Miscellaneous alkaloids" 9
"Miscellaneous polyketides" 191
"Mitomycin derivatives" 7
"Monoterpenoids" 5605
"Mycosporine derivatives" 45
"Naphthalenes" 1746
"Nicotinic acid alkaloids" 1126
"Nucleosides" 550
"Octadecanoids" 218
"Oligopeptides" 2307
"Ornithine alkaloids" 1344
"Peptide alkaloids" 617
"Phenanthrenoids" 438
"Phenolic acids (C6-C1)" 3443
"Phenylethanoids (C6-C2)" 630
"Phenylpropanoids (C6-C3)" 5086
"Phloroglucinols" 641
"Polycyclic aromatic polyketides" 2459
"Polyethers" 293
"Polyols" 579
"Polyprenols" 78
"Proline alkaloids" 305
"Pseudoalkaloids" 2347
"Saccharides" 1140
"Serine alkaloids" 64
"Sesquiterpenoids" 10024
"Sesterterpenoids" 281
"Small peptides" 1812
"Sphingolipids" 263
"Steroids" 8145
"Stilbenoids" 1080
"Styrylpyrones" 203
"Terphenyls" 176
"Tetramate alkaloids" 144
"Triterpenoids" 9973
"Tropolones" 23
"Tryptophan alkaloids" 4471
"Tyrosine alkaloids" 3478
"Xanthones" 1067
"β-lactams" 167
"γ-lactam-β-lactones" 7
